Sensor 0,Sensor 1,Sensor 2,Sensor 3,Time
6,0,0,-2,9.78E-06
8,1,-1,-2,9.78E-06
17,0,-1,-2,9.78E-06
29,1,-1,-1,9.78E-06
43,0,-1,-2,9.78E-06
57,1,-1,-1,0.009790421
72,0,-1,-1,0.009790421
87,0,0,-1,0.009790421
101,0,0,-2,0.009790421
114,0,-1,-2,0.019790888
127,1,-1,-1,0.019790888
140,0,0,-2,0.019790888
156,0,-1,-1,0.019790888
173,0,-1,-1,0.019790888
189,0,0,-2,0.019790888
203,0,-1,-1,0.029790401
214,0,-1,-1,0.029790401
224,0,0,-1,0.029790401
231,1,-1,-2,0.029790401
235,0,0,-2,0.029790401
234,1,-1,-1,0.029790401
226,1,-1,-1,0.039789677
210,0,-1,-1,0.039789677
191,0,-1,-2,0.039789677
163,1,-1,-2,0.039789677
127,0,-1,-2,0.039789677
83,0,-1,-1,0.049789906
45,1,-1,-1,0.049789906
15,0,-1,-1,0.049789906
7,0,-1,-1,0.049789906
6,1,-1,-2,0.049789906
6,0,-1,-1,0.001374006
7,0,0,-2,0.001374006
9,0,-1,-2,0.001374006
20,0,-1,-1,0.001374006
42,0,-1,-2,0.001374006
63,1,-1,-2,0.011353493
84,0,0,-2,0.011353493
104,0,-1,-2,0.011353493
128,0,-1,-1,0.011353493
153,1,0,-1,0.011353493
178,0,0,-2,0.011353493
202,0,0,-1,0.011353493
225,1,-1,-2,0.011353493
244,1,-1,-1,0.021342039
261,1,-1,-1,0.021342039
273,0,-1,-1,0.021342039
280,0,0,-2,0.021342039
278,0,-1,-2,0.021342039
268,1,-1,-2,0.021342039
248,1,-1,-2,0.031342506
212,0,-1,-1,0.031342506
157,0,-1,-2,0.031342506
102,0,-1,-2,0.031342506
42,0,0,-2,0.031342506
12,1,-1,-1,0.031342506
6,0,-1,-2,0.031342506
6,0,-1,-2,0.006689072
6,0,-1,-2,0.006689072
9,0,-1,-2,0.016482115
15,1,-1,-1,0.016482115
26,0,-1,-2,0.016482115
40,1,0,-1,0.016482115
58,1,-1,-1,0.016482115
81,0,-1,-1,0.026480198
106,0,0,-2,0.026480198
134,0,-1,-1,0.026480198
164,0,0,-2,0.026480198
191,0,-1,-2,0.026480198
217,0,-1,-2,0.026480198
240,0,-1,-2,0.026480198
261,0,-1,-1,0.036479712
275,0,-1,-2,0.036479712
285,1,0,-2,0.036479712
288,0,-1,-2,0.036479712
282,1,-1,-2,0.036479712
265,0,-1,-2,0.036479712
240,0,-1,-2,0.046480417
202,0,-1,-1,0.046480417
149,0,0,-2,0.046480417
93,0,-1,-1,0.046480417
54,0,-1,-2,0.046480417
26,1,-1,-2,0.046480417
8,1,0,-1,0.046480417
6,0,0,-2,0.056479692
6,0,-1,-2,0.008048534
8,1,-1,-1,0.008048534
14,0,-1,-2,0.008048534
22,0,-1,-1,0.018045187
32,0,-1,-2,0.018045187
44,0,-1,-1,0.018045187
57,0,-1,-1,0.018045187
71,0,0,-2,0.018045187
86,0,-1,-2,0.018045187
101,1,-1,-1,0.028044701
116,0,0,-2,0.028044701
130,1,-1,-1,0.028044701
143,1,-1,-1,0.028044701
156,1,0,-1,0.028044701
166,0,-1,-1,0.028044701
172,0,-1,-1,0.028044701
175,0,-1,-2,0.038044453
175,1,0,-2,0.038044453
171,1,0,-1,0.038044453
162,0,-1,-1,0.038044453
147,0,-1,-1,0.038044453
126,0,0,-2,0.038044453
98,1,-1,-1,0.048043966
74,0,-1,-2,0.048043966
52,0,-1,-2,0.048043966
33,0,-1,-1,0.048043966
9,0,-1,-1,0.048043966
6,0,-1,-2,0.048043966
6,0,0,-2,0.000605106
6,0,-1,-2,0.000605106
6,0,-1,-1,0.000605106
8,1,-1,-2,0.000605106
9,0,-1,-2,0.000605106
11,0,-1,-1,0.000605106
14,0,-1,-1,0.01045084
17,1,-1,-1,0.01045084
23,0,-1,-1,0.01045084
27,0,-1,-2,0.01045084
29,1,-1,-1,0.01045084
30,1,-1,-2,0.01045084
29,0,-1,-1,0.020450354
26,0,-1,-1,0.020450354
20,1,0,-2,0.020450354
11,0,0,-1,0.020450354
8,1,0,-1,0.020450354
6,0,-1,-1,0.020450354
6,0,0,-2,7.63E-06
6,0,-1,-1,7.63E-06
10,0,0,-1,7.63E-06
19,0,0,-2,7.63E-06
34,1,-1,-1,0.009821653
52,1,0,-2,0.009821653
70,0,0,-2,0.009821653
91,1,0,-1,0.009821653
112,0,-1,-1,0.009821653
134,0,-1,-1,0.009821653
153,1,0,-1,0.019813299
170,0,-1,-2,0.019813299
182,0,-1,-1,0.019813299
188,1,0,-1,0.019813299
184,1,-1,-1,0.019813299
168,0,-1,-1,0.019813299
133,0,-1,-2,0.019813299
102,1,0,-2,0.029813051
67,0,-1,-1,0.029813051
29,1,-1,-1,0.029813051
7,0,0,-2,0.029813051
6,1,-1,-1,0.009986877
6,0,0,-2,0.009986877
6,1,-1,-1,0.009986877
10,0,-1,-2,0.019778728
23,1,-1,-1,0.019778728
43,0,0,-2,0.019778728
63,1,-1,-1,0.019778728
88,0,0,-1,0.019778728
115,1,-1,-1,0.029775858
143,0,-1,-1,0.029775858
171,0,-1,-2,0.029775858
196,0,0,-1,0.029775858
218,0,0,-2,0.029775858
237,1,-1,-1,0.029775858
251,0,-1,-2,0.029775858
260,0,0,-2,0.039775848
263,0,0,-2,0.039775848
259,0,0,-2,0.039775848
244,0,0,-2,0.039775848
218,1,0,-2,0.039775848
173,0,-1,-2,0.039775848
111,1,-1,-1,0.039775848
65,0,-1,-1,0.049777269
38,0,0,-1,0.049777269
10,1,-1,-1,0.049777269
7,0,0,-1,0.049777269
6,0,-1,-2,0.049777269
6,0,-1,-2,2.15E-05
9,1,-1,-2,2.15E-05
7,0,-1,-2,2.15E-05
10,1,-1,-1,2.15E-05
22,0,-1,-1,2.15E-05
34,0,-1,-2,2.15E-05
49,0,-1,-1,2.15E-05
64,0,0,-2,0.009998798
81,1,0,-1,0.009998798
98,0,0,-2,0.009998798
113,0,0,-1,0.009998798
127,0,0,-2,0.009998798
137,0,0,-1,0.009998798
144,0,-1,-1,0.009998798
147,0,0,-2,0.009998798
145,0,0,-2,0.020022631
136,0,-1,-1,0.020022631
123,0,0,-2,0.020022631
107,0,0,-1,0.020022631
89,0,0,-2,0.020022631
67,0,0,-2,0.020022631
45,1,0,-1,0.020022631
22,0,-1,-1,0.029999018
9,0,-1,-2,0.029999018
6,0,-1,-2,0.029999018
6,1,-1,-2,0.00846076
6,0,-1,-2,0.00846076
7,0,-1,-1,0.00846076
10,0,0,-2,0.00846076
14,0,-1,-1,0.018369913
22,0,0,-1,0.018369913
34,1,0,-1,0.018369913
53,0,-1,-1,0.018369913
74,1,-1,-1,0.018369913
96,1,0,-1,0.028365374
121,0,0,-2,0.028365374
145,0,0,-2,0.028365374
165,0,-1,-1,0.028365374
181,0,0,-2,0.028365374
192,0,-1,-1,0.028365374
199,0,0,-1,0.028365374
202,0,0,-1,0.038363934
199,0,0,-2,0.038363934
185,0,-1,-1,0.038363934
168,0,-1,-1,0.038363934
144,0,-1,-2,0.038363934
107,0,-1,-2,0.038363934
55,0,0,-2,0.038363934
19,0,-1,-1,0.048365831
9,0,-1,-1,0.048365831
6,0,-1,-1,0.048365831
6,0,0,-1,0.002838135
6,0,-1,-1,0.002838135
8,0,-1,-1,0.012659073
18,0,0,-2,0.012659073
37,1,0,-1,0.012659073
58,0,-1,-1,0.012659073
